subject,body,category,is_ambiguous
Website contact form test,How can I get in touch with your sales team about enterprise pricing?,General,False
App keeps crashing,"It looks like the whole site is down, I'm getting a 'service unavailable' message and so is my coworker.",Technical,False
Press inquiry,I'm filling out this form just to test that it reaches your support inbox correctly.,General,False
Event invitation,I'm filling out this form just to test that it reaches your support inbox correctly.,General,False
"App not working, need refund",The app crashes constantly and honestly at this point I just want my money back for the subscription.,Technical,True
Payment failed,The payment for my account failed even though my card has sufficient balance. Please retry the charge or tell me how to update payment details.,Billing,False
Resignation notice,Could you tell me how many PTO days I currently have left for this year?,HR,False
Question about my invoice,I was charged twice for my January subscription and I need the duplicate charge refunded to my card.,Billing,False
Question about PTO balance,"I want to file a formal complaint about a conflict I've been having with a coworker, who should I talk to?",HR,False
App keeps crashing,"I found a bug: when I add more than 10 items to the cart, the total price stops updating correctly.",Technical,False
Question about PTO balance,I still haven't received the enrollment forms for health insurance and the deadline is coming up soon.,HR,False
401k contribution question,"Is fully remote work still allowed for my role, or do I need to start coming into the office?",HR,False
Partnership inquiry,Could you tell me your office locations and business hours?,General,False
Newsletter unsubscribe,"I just wanted to say thank you, the desktop client has made our team's work so much easier this quarter.",General,False
App keeps crashing,"The checkout page is throwing a 500 internal server error whenever I try to complete a purchase, this is blocking all our orders.",Technical,False
Invoice not received,The payment for my account failed even though my card has sufficient balance. Please retry the charge or tell me how to update payment details.,Billing,False
Performance review schedule,"I'd like to update my emergency contact and mailing address in the HR system, how do I do that?",HR,False
Benefits enrollment deadline,"Can you clarify the company's parental leave policy, specifically how many weeks are paid?",HR,False
Site is down for everyone,"The data sync between the API and our internal system stopped working two days ago, records aren't updating anymore.",Technical,False
Cancel my subscription,We need a GST/tax invoice with our company details for the last payment we made.,Billing,False
401k contribution question,"Can you clarify the company's parental leave policy, specifically how many weeks are paid?",HR,False
Update my credit card,"I'd like to upgrade from the basic plan to the pro plan, can you tell me the price difference and when the new billing cycle starts?",Billing,False
